index,random_seed,ION_Tvir_MIN,X_RAY_SPEC_INDEX,HII_EFF_FACTOR
0,20559,4.67,0.935,28.0
1,39275,4.67,0.935,28.0
2,34468,4.67,0.935,28.0
3,62851,4.67,0.935,28.0
4,55381,4.67,0.935,28.0
5,52659,4.67,0.935,28.0
6,17427,4.67,0.935,28.0
7,59366,4.67,0.935,28.0
8,49474,4.67,0.935,28.0
9,58777,4.67,0.935,28.0
10,5284,4.67,0.935,28.0
11,95969,4.67,0.935,28.0
12,68761,4.67,0.935,28.0
13,14065,4.67,0.935,28.0
14,45780,4.67,0.935,28.0
15,8751,4.67,0.935,32.0
16,57404,4.67,0.935,32.0
17,556,4.67,0.935,32.0
18,63114,4.67,0.935,32.0
19,48530,4.67,0.935,32.0
20,22196,4.67,0.935,32.0
21,35953,4.67,0.935,32.0
22,85587,4.67,0.935,32.0
23,21251,4.67,0.935,32.0
24,43508,4.67,0.935,32.0
25,35418,4.67,0.935,32.0
26,72353,4.67,0.935,32.0
27,86119,4.67,0.935,32.0
28,88123,4.67,0.935,32.0
29,2591,4.67,0.935,32.0
30,65968,4.67,1.065,28.0
31,5972,4.67,1.065,28.0
32,80469,4.67,1.065,28.0
33,89930,4.67,1.065,28.0
34,34545,4.67,1.065,28.0
35,76220,4.67,1.065,28.0
36,38588,4.67,1.065,28.0
37,40722,4.67,1.065,28.0
38,77148,4.67,1.065,28.0
39,2877,4.67,1.065,28.0
40,41984,4.67,1.065,28.0
41,78847,4.67,1.065,28.0
42,98843,4.67,1.065,28.0
43,16952,4.67,1.065,28.0
44,23778,4.67,1.065,28.0
45,20732,4.67,1.065,32.0
46,6861,4.67,1.065,32.0
47,69188,4.67,1.065,32.0
48,74564,4.67,1.065,32.0
49,61277,4.67,1.065,32.0
50,30841,4.67,1.065,32.0
51,63171,4.67,1.065,32.0
52,47022,4.67,1.065,32.0
53,32284,4.67,1.065,32.0
54,63105,4.67,1.065,32.0
55,8844,4.67,1.065,32.0
56,21784,4.67,1.065,32.0
57,36878,4.67,1.065,32.0
58,57167,4.67,1.065,32.0
59,20498,4.67,1.065,32.0
60,9863,4.69,0.935,28.0
61,35326,4.69,0.935,28.0
62,52357,4.69,0.935,28.0
63,58637,4.69,0.935,28.0
64,47305,4.69,0.935,28.0
65,92294,4.69,0.935,28.0
66,44204,4.69,0.935,28.0
67,11071,4.69,0.935,28.0
68,86264,4.69,0.935,28.0
69,83057,4.69,0.935,28.0
70,99046,4.69,0.935,28.0
71,65540,4.69,0.935,28.0
72,66018,4.69,0.935,28.0
73,86081,4.69,0.935,28.0
74,81477,4.69,0.935,28.0
75,29369,4.69,0.935,32.0
76,36247,4.69,0.935,32.0
77,89422,4.69,0.935,32.0
78,75706,4.69,0.935,32.0
79,22094,4.69,0.935,32.0
80,65304,4.69,0.935,32.0
81,11100,4.69,0.935,32.0
82,86242,4.69,0.935,32.0
83,57414,4.69,0.935,32.0
84,46669,4.69,0.935,32.0
85,86993,4.69,0.935,32.0
86,4423,4.69,0.935,32.0
87,94462,4.69,0.935,32.0
88,22893,4.69,0.935,32.0
89,53044,4.69,0.935,32.0
90,66126,4.69,1.065,28.0
91,17211,4.69,1.065,28.0
92,59575,4.69,1.065,28.0
93,39269,4.69,1.065,28.0
94,67276,4.69,1.065,28.0
95,91697,4.69,1.065,28.0
96,63714,4.69,1.065,28.0
97,68357,4.69,1.065,28.0
98,4217,4.69,1.065,28.0
99,91696,4.69,1.065,28.0
100,74481,4.69,1.065,28.0
101,63351,4.69,1.065,28.0
102,6490,4.69,1.065,28.0
103,1409,4.69,1.065,28.0
104,53750,4.69,1.065,28.0
105,97403,4.69,1.065,32.0
106,68491,4.69,1.065,32.0
107,85366,4.69,1.065,32.0
108,14482,4.69,1.065,32.0
109,41127,4.69,1.065,32.0
110,78760,4.69,1.065,32.0
111,36076,4.69,1.065,32.0
112,33682,4.69,1.065,32.0
113,25253,4.69,1.065,32.0
114,40926,4.69,1.065,32.0
115,52819,4.69,1.065,32.0
116,23509,4.69,1.065,32.0
117,78961,4.69,1.065,32.0
118,91398,4.69,1.065,32.0
119,13283,4.69,1.065,32.0
120,58362,4.71,0.935,28.0
121,76651,4.71,0.935,28.0
122,1590,4.71,0.935,28.0
123,81863,4.71,0.935,28.0
124,60610,4.71,0.935,28.0
125,50387,4.71,0.935,28.0
126,36230,4.71,0.935,28.0
127,59028,4.71,0.935,28.0
128,7353,4.71,0.935,28.0
129,86378,4.71,0.935,28.0
130,10596,4.71,0.935,28.0
131,56646,4.71,0.935,28.0
132,78090,4.71,0.935,28.0
133,88487,4.71,0.935,28.0
134,97175,4.71,0.935,28.0
135,2939,4.71,0.935,32.0
136,82632,4.71,0.935,32.0
137,22740,4.71,0.935,32.0
138,85911,4.71,0.935,32.0
139,71249,4.71,0.935,32.0
140,17740,4.71,0.935,32.0
141,3928,4.71,0.935,32.0
142,3095,4.71,0.935,32.0
143,15801,4.71,0.935,32.0
144,78102,4.71,0.935,32.0
145,38764,4.71,0.935,32.0
146,85022,4.71,0.935,32.0
147,46352,4.71,0.935,32.0
148,55991,4.71,0.935,32.0
149,11501,4.71,0.935,32.0
150,83794,4.71,1.065,28.0
151,12219,4.71,1.065,28.0
152,30366,4.71,1.065,28.0
153,41707,4.71,1.065,28.0
154,3123,4.71,1.065,28.0
155,73154,4.71,1.065,28.0
156,39346,4.71,1.065,28.0
157,56555,4.71,1.065,28.0
158,10414,4.71,1.065,28.0
159,81354,4.71,1.065,28.0
160,79195,4.71,1.065,28.0
161,62302,4.71,1.065,28.0
162,64147,4.71,1.065,28.0
163,57283,4.71,1.065,28.0
164,87087,4.71,1.065,28.0
165,88296,4.71,1.065,32.0
166,92517,4.71,1.065,32.0
167,82811,4.71,1.065,32.0
168,47910,4.71,1.065,32.0
169,74441,4.71,1.065,32.0
170,72194,4.71,1.065,32.0
171,65503,4.71,1.065,32.0
172,48790,4.71,1.065,32.0
173,95381,4.71,1.065,32.0
174,8668,4.71,1.065,32.0
175,77447,4.71,1.065,32.0
176,82497,4.71,1.065,32.0
177,97834,4.71,1.065,32.0
178,10561,4.71,1.065,32.0
179,2872,4.71,1.065,32.0
180,21033,4.73,0.935,28.0
181,44826,4.73,0.935,28.0
182,11904,4.73,0.935,28.0
183,74889,4.73,0.935,28.0
184,64956,4.73,0.935,28.0
185,45895,4.73,0.935,28.0
186,71350,4.73,0.935,28.0
187,78101,4.73,0.935,28.0
188,5485,4.73,0.935,28.0
189,55358,4.73,0.935,28.0
190,70300,4.73,0.935,28.0
191,95254,4.73,0.935,28.0
192,41999,4.73,0.935,28.0
193,79032,4.73,0.935,28.0
194,93157,4.73,0.935,28.0
195,65536,4.73,0.935,32.0
196,39027,4.73,0.935,32.0
197,49091,4.73,0.935,32.0
198,90594,4.73,0.935,32.0
199,53080,4.73,0.935,32.0
200,86408,4.73,0.935,32.0
201,40952,4.73,0.935,32.0
202,77514,4.73,0.935,32.0
203,27002,4.73,0.935,32.0
204,66400,4.73,0.935,32.0
205,77585,4.73,0.935,32.0
206,46513,4.73,0.935,32.0
207,49735,4.73,0.935,32.0
208,5248,4.73,0.935,32.0
209,54726,4.73,0.935,32.0
210,78555,4.73,1.065,28.0
211,84652,4.73,1.065,28.0
212,20979,4.73,1.065,28.0
213,67452,4.73,1.065,28.0
214,94535,4.73,1.065,28.0
215,5926,4.73,1.065,28.0
216,23905,4.73,1.065,28.0
217,95301,4.73,1.065,28.0
218,25231,4.73,1.065,28.0
219,3160,4.73,1.065,28.0
220,33602,4.73,1.065,28.0
221,35590,4.73,1.065,28.0
222,28144,4.73,1.065,28.0
223,64815,4.73,1.065,28.0
224,23474,4.73,1.065,28.0
225,13433,4.73,1.065,32.0
226,6445,4.73,1.065,32.0
227,44933,4.73,1.065,32.0
228,90814,4.73,1.065,32.0
229,55068,4.73,1.065,32.0
230,68646,4.73,1.065,32.0
231,4774,4.73,1.065,32.0
232,40875,4.73,1.065,32.0
233,72586,4.73,1.065,32.0
234,46607,4.73,1.065,32.0
235,82046,4.73,1.065,32.0
236,8478,4.73,1.065,32.0
237,8993,4.73,1.065,32.0
238,56887,4.73,1.065,32.0
239,87999,4.73,1.065,32.0
